2011-02-23 23:27:06 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-23 23:28:47 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:21:43 Notice: Notice (8): Undefined variable: javascript in [/media/storage/Documents/www/certs/views/departments/add.ctp, line 3]
2011-02-24 16:22:16 Notice: Notice (8): Undefined variable: javascript in [/media/storage/Documents/www/certs/views/departments/add.ctp, line 3]
2011-02-24 16:24:10 Notice: Notice (8): Undefined variable: javascript in [/media/storage/Documents/www/certs/views/departments/add.ctp, line 5]
2011-02-24 16:24:35 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:25:47 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:26:57 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:28:20 Notice: Notice (8): Undefined property: View::$Session in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 42]
2011-02-24 16:31:03 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:31:04 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:31:04 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:31:04 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:31:04 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 16:32:19 Notice: Notice (8): Undefined property: View::$Session in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 42]
2011-02-24 16:38:05 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 58]
2011-02-24 20:52:05 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 20:52:19 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:32:01 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:32:01 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:32:53 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:36:39 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:36:39 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-24 21:46:43 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 59]
2011-02-25 15:43:45 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-25 15:44:41 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-25 15:46:10 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-25 15:50:42 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-25 15:52:30 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-25 15:52:37 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-26 20:27:16 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-02-26 20:27:39 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-03-16 19:00:05 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-03-16 23:54:36 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
2011-03-17 11:04:13 Notice: Notice (8): Undefined property: View::$Js in [/media/storage/Documents/www/certs/views/layouts/default.ctp, line 61]
